매장명,승인번호,금액,결제수단,상태,배달여부,승인일시,취소일시
카카온 테스트 매장,24010404906,30000,CASH,APPROVED,배달,2024-01-04 08:50:16,
카카온 테스트 매장,24010457041,15000,CARD,APPROVED,매장,2024-01-04 10:51:47,
카카온 테스트 매장,24010451379,30000,KAKAOPAY,APPROVED,배달,2024-01-04 11:14:33,
카카온 테스트 매장,24010480361,10000,TRANSFER,APPROVED,배달,2024-01-04 15:48:00,
카카온 테스트 매장,24010428259,15000,KAKAOPAY,APPROVED,배달,2024-01-04 20:39:46,
카카온 테스트 매장,24010420144,25000,CARD,APPROVED,매장,2024-01-04 20:58:31,
카카온 테스트 매장,24010474447,5000,CARD,APPROVED,매장,2024-01-04 21:51:04,
카카온 테스트 매장,24010444142,50000,CASH,APPROVED,매장,2024-01-04 22:03:41,
카카온 테스트 매장,24010441560,25000,CARD,APPROVED,배달,2024-01-04 22:04:19,
카카온 테스트 매장,24010456179,20000,CARD,APPROVED,매장,2024-01-04 22:27:00,
카카온 테스트 매장,24010546253,50000,CASH,APPROVED,배달,2024-01-05 01:17:48,
카카온 테스트 매장,24010507602,40000,CARD,APPROVED,배달,2024-01-05 03:54:26,
카카온 테스트 매장,24010565849,10000,KAKAOPAY,APPROVED,배달,2024-01-05 07:40:19,
카카온 테스트 매장,24010536434,10000,CARD,APPROVED,매장,2024-01-05 12:05:09,
카카온 테스트 매장,24010580806,20000,KAKAOPAY,APPROVED,매장,2024-01-05 12:48:17,
카카온 테스트 매장,24010540168,50000,KAKAOPAY,APPROVED,배달,2024-01-05 13:45:56,
카카온 테스트 매장,24010551419,25000,KAKAOPAY,APPROVED,매장,2024-01-05 14:07:41,
카카온 테스트 매장,24010573880,15000,CARD,APPROVED,배달,2024-01-05 15:03:22,
카카온 테스트 매장,24010560797,15000,CARD,APPROVED,배달,2024-01-05 15:10:14,
카카온 테스트 매장,24010511065,30000,CARD,APPROVED,매장,2024-01-05 16:33:02,
카카온 테스트 매장,24010538694,50000,CASH,APPROVED,매장,2024-01-05 17:00:43,
카카온 테스트 매장,24010543390,50000,CARD,APPROVED,매장,2024-01-05 21:01:16,
카카온 테스트 매장,24010513439,40000,KAKAOPAY,APPROVED,매장,2024-01-05 21:10:44,
카카온 테스트 매장,24010559531,5000,CARD,APPROVED,배달,2024-01-05 21:22:52,
카카온 테스트 매장,24010540812,10000,KAKAOPAY,APPROVED,매장,2024-01-05 22:59:47,
카카온 테스트 매장,24010539249,15000,TRANSFER,APPROVED,매장,2024-01-05 23:24:24,
카카온 테스트 매장,24010660024,20000,CASH,APPROVED,매장,2024-01-06 01:03:37,
카카온 테스트 매장,24010617328,40000,TRANSFER,APPROVED,배달,2024-01-06 01:21:18,
카카온 테스트 매장,24010631545,5000,CARD,APPROVED,매장,2024-01-06 03:00:49,
카카온 테스트 매장,24010617602,30000,CASH,APPROVED,매장,2024-01-06 04:55:13,
카카온 테스트 매장,24010633230,30000,KAKAOPAY,APPROVED,매장,2024-01-06 04:57:23,
카카온 테스트 매장,24010688575,25000,CARD,APPROVED,배달,2024-01-06 05:13:31,
카카온 테스트 매장,24010603913,40000,CASH,APPROVED,배달,2024-01-06 06:11:35,
카카온 테스트 매장,24010644902,5000,CARD,APPROVED,매장,2024-01-06 08:56:41,
카카온 테스트 매장,24010694446,20000,KAKAOPAY,APPROVED,배달,2024-01-06 09:45:22,
카카온 테스트 매장,24010617123,10000,CARD,APPROVED,매장,2024-01-06 15:03:54,
카카온 테스트 매장,24010695786,50000,CARD,APPROVED,매장,2024-01-06 16:59:47,
카카온 테스트 매장,24010621723,50000,CARD,APPROVED,매장,2024-01-06 17:26:49,
카카온 테스트 매장,24010688504,25000,CARD,APPROVED,매장,2024-01-06 21:38:34,
카카온 테스트 매장,24010704190,25000,CARD,APPROVED,배달,2024-01-07 00:08:41,
카카온 테스트 매장,24010795932,30000,KAKAOPAY,APPROVED,매장,2024-01-07 00:44:28,
카카온 테스트 매장,24010784552,5000,CARD,APPROVED,매장,2024-01-07 00:45:00,
카카온 테스트 매장,24010763934,25000,CARD,APPROVED,매장,2024-01-07 02:02:04,
카카온 테스트 매장,24010738368,40000,CARD,APPROVED,매장,2024-01-07 02:36:39,
카카온 테스트 매장,24010769058,5000,KAKAOPAY,CANCELED,매장,2024-01-07 07:59:11,2024-01-09 12:59:11
카카온 테스트 매장,24010764461,25000,CARD,APPROVED,배달,2024-01-07 08:13:04,
카카온 테스트 매장,24010752132,15000,CARD,APPROVED,매장,2024-01-07 09:26:24,
카카온 테스트 매장,24010787605,25000,CASH,APPROVED,매장,2024-01-07 12:57:34,
카카온 테스트 매장,24010776809,15000,TRANSFER,APPROVED,배달,2024-01-07 14:27:17,
카카온 테스트 매장,24010718243,25000,KAKAOPAY,APPROVED,매장,2024-01-07 14:37:00,
카카온 테스트 매장,24010729688,25000,KAKAOPAY,APPROVED,매장,2024-01-07 16:25:00,
카카온 테스트 매장,24010794056,20000,KAKAOPAY,APPROVED,매장,2024-01-07 16:57:32,
카카온 테스트 매장,24010731140,30000,CARD,APPROVED,배달,2024-01-07 20:03:00,
카카온 테스트 매장,24010791457,25000,KAKAOPAY,APPROVED,배달,2024-01-07 21:12:48,
카카온 테스트 매장,24010710927,40000,CARD,APPROVED,매장,2024-01-07 22:57:00,
카카온 테스트 매장,24010883992,5000,CARD,APPROVED,매장,2024-01-08 01:14:29,
카카온 테스트 매장,24010815146,50000,CARD,APPROVED,매장,2024-01-08 01:32:28,
카카온 테스트 매장,24010816730,10000,CARD,APPROVED,배달,2024-01-08 03:48:08,
카카온 테스트 매장,24010860756,20000,CASH,APPROVED,매장,2024-01-08 05:18:00,
카카온 테스트 매장,24010875738,50000,KAKAOPAY,CANCELED,배달,2024-01-08 07:16:26,2024-01-08 13:16:26
카카온 테스트 매장,24010815217,30000,KAKAOPAY,APPROVED,매장,2024-01-08 07:27:27,
카카온 테스트 매장,24010817068,50000,CASH,APPROVED,매장,2024-01-08 09:05:38,
카카온 테스트 매장,24010893923,20000,KAKAOPAY,APPROVED,매장,2024-01-08 10:07:33,
카카온 테스트 매장,24010854312,20000,CARD,APPROVED,배달,2024-01-08 10:58:12,
카카온 테스트 매장,24010829478,40000,CARD,APPROVED,매장,2024-01-08 13:32:50,
카카온 테스트 매장,24010802178,5000,CARD,APPROVED,배달,2024-01-08 15:51:48,
카카온 테스트 매장,24010813116,10000,KAKAOPAY,APPROVED,매장,2024-01-08 18:15:12,
카카온 테스트 매장,24010875352,20000,CARD,APPROVED,배달,2024-01-08 18:21:36,
카카온 테스트 매장,24010831020,10000,KAKAOPAY,APPROVED,배달,2024-01-08 18:31:35,
카카온 테스트 매장,24010823714,15000,CARD,APPROVED,매장,2024-01-08 19:16:38,
카카온 테스트 매장,24010847961,5000,CARD,APPROVED,매장,2024-01-08 19:42:31,
카카온 테스트 매장,24010950160,50000,CARD,APPROVED,배달,2024-01-09 03:00:49,
카카온 테스트 매장,24010938783,25000,CARD,APPROVED,매장,2024-01-09 06:56:06,
카카온 테스트 매장,24010993558,20000,KAKAOPAY,APPROVED,배달,2024-01-09 08:01:45,
카카온 테스트 매장,24010978839,10000,CASH,APPROVED,매장,2024-01-09 11:04:45,
카카온 테스트 매장,24010961606,25000,CASH,APPROVED,매장,2024-01-09 14:58:31,
카카온 테스트 매장,24010959685,50000,CARD,APPROVED,매장,2024-01-09 16:58:57,
카카온 테스트 매장,24010956714,40000,CASH,APPROVED,매장,2024-01-09 19:25:47,
카카온 테스트 매장,24010932757,10000,CASH,APPROVED,배달,2024-01-09 19:26:49,
카카온 테스트 매장,24010911763,15000,KAKAOPAY,APPROVED,매장,2024-01-09 22:18:08,
카카온 테스트 매장,24011050264,20000,KAKAOPAY,APPROVED,매장,2024-01-10 00:20:47,
카카온 테스트 매장,24011083827,30000,KAKAOPAY,APPROVED,매장,2024-01-10 00:33:32,
카카온 테스트 매장,24011048316,15000,TRANSFER,APPROVED,매장,2024-01-10 01:05:53,
카카온 테스트 매장,24011097651,5000,CARD,APPROVED,배달,2024-01-10 01:38:18,
카카온 테스트 매장,24011075819,15000,TRANSFER,APPROVED,매장,2024-01-10 03:06:07,
카카온 테스트 매장,24011041801,50000,CARD,APPROVED,배달,2024-01-10 03:27:34,
카카온 테스트 매장,24011081663,5000,CARD,APPROVED,매장,2024-01-10 04:02:46,
카카온 테스트 매장,24011077756,5000,CASH,APPROVED,매장,2024-01-10 04:39:49,
카카온 테스트 매장,24011093976,15000,CARD,APPROVED,매장,2024-01-10 05:21:53,
카카온 테스트 매장,24011048033,25000,CASH,APPROVED,매장,2024-01-10 06:20:22,
카카온 테스트 매장,24011024035,50000,CASH,APPROVED,매장,2024-01-10 07:44:38,
카카온 테스트 매장,24011094084,25000,KAKAOPAY,APPROVED,매장,2024-01-10 08:34:36,
카카온 테스트 매장,24011035184,40000,CARD,APPROVED,배달,2024-01-10 09:10:37,
카카온 테스트 매장,24011094828,15000,KAKAOPAY,APPROVED,매장,2024-01-10 10:03:18,
카카온 테스트 매장,24011051437,10000,CARD,APPROVED,배달,2024-01-10 10:43:05,
카카온 테스트 매장,24011001094,5000,CASH,APPROVED,매장,2024-01-10 11:00:40,
카카온 테스트 매장,24011032109,25000,KAKAOPAY,APPROVED,매장,2024-01-10 13:15:46,
카카온 테스트 매장,24011032702,10000,KAKAOPAY,APPROVED,매장,2024-01-10 15:04:37,
카카온 테스트 매장,24011012159,5000,CARD,APPROVED,매장,2024-01-10 15:12:31,
카카온 테스트 매장,24011034106,30000,CARD,APPROVED,매장,2024-01-10 15:35:43,
카카온 테스트 매장,24011017270,5000,KAKAOPAY,APPROVED,배달,2024-01-10 16:03:38,
카카온 테스트 매장,24011065048,10000,KAKAOPAY,APPROVED,배달,2024-01-10 18:01:48,
카카온 테스트 매장,24011095510,30000,CARD,APPROVED,배달,2024-01-10 19:05:56,
카카온 테스트 매장,24011063737,5000,CARD,APPROVED,배달,2024-01-10 21:15:11,
카카온 테스트 매장,24011092696,25000,KAKAOPAY,APPROVED,매장,2024-01-10 21:44:03,
카카온 테스트 매장,24011064310,30000,KAKAOPAY,APPROVED,매장,2024-01-10 23:37:39,
카카온 테스트 매장,24011099921,40000,CARD,APPROVED,배달,2024-01-10 23:43:33,
카카온 테스트 매장,24011141433,20000,CARD,APPROVED,매장,2024-01-11 02:01:25,
카카온 테스트 매장,24011162895,5000,CASH,APPROVED,매장,2024-01-11 02:21:21,
카카온 테스트 매장,24011153415,5000,KAKAOPAY,APPROVED,배달,2024-01-11 05:36:02,
카카온 테스트 매장,24011125338,15000,CARD,APPROVED,매장,2024-01-11 09:10:16,
카카온 테스트 매장,24011124261,25000,CASH,APPROVED,배달,2024-01-11 11:57:32,
카카온 테스트 매장,24011114737,30000,CARD,APPROVED,배달,2024-01-11 12:22:37,
카카온 테스트 매장,24011182100,5000,CASH,APPROVED,매장,2024-01-11 12:30:19,
카카온 테스트 매장,24011119083,30000,KAKAOPAY,APPROVED,매장,2024-01-11 13:35:06,
카카온 테스트 매장,24011169760,50000,KAKAOPAY,APPROVED,매장,2024-01-11 14:26:56,
카카온 테스트 매장,24011114986,25000,KAKAOPAY,APPROVED,매장,2024-01-11 15:36:51,
카카온 테스트 매장,24011121367,40000,KAKAOPAY,APPROVED,매장,2024-01-11 19:43:27,
카카온 테스트 매장,24011172440,10000,CASH,APPROVED,매장,2024-01-11 21:09:47,
카카온 테스트 매장,24011109394,40000,CARD,APPROVED,배달,2024-01-11 21:29:23,
카카온 테스트 매장,24011181884,20000,CARD,APPROVED,배달,2024-01-11 22:10:01,
카카온 테스트 매장,24011182068,50000,CARD,APPROVED,매장,2024-01-11 22:17:46,
카카온 테스트 매장,24011196143,20000,CASH,APPROVED,배달,2024-01-11 23:30:56,
카카온 테스트 매장,24011266286,50000,CARD,APPROVED,매장,2024-01-12 00:46:33,
카카온 테스트 매장,24011279008,40000,CARD,APPROVED,매장,2024-01-12 01:40:48,
카카온 테스트 매장,24011264179,40000,CARD,APPROVED,배달,2024-01-12 02:58:49,
카카온 테스트 매장,24011217729,25000,CARD,APPROVED,매장,2024-01-12 03:41:23,
카카온 테스트 매장,24011241637,5000,CARD,APPROVED,매장,2024-01-12 04:13:12,
카카온 테스트 매장,24011297949,15000,CARD,APPROVED,매장,2024-01-12 05:20:57,
카카온 테스트 매장,24011284231,10000,KAKAOPAY,APPROVED,매장,2024-01-12 06:11:43,
카카온 테스트 매장,24011261784,15000,CARD,APPROVED,매장,2024-01-12 08:51:02,
카카온 테스트 매장,24011278746,10000,KAKAOPAY,APPROVED,매장,2024-01-12 11:50:42,
카카온 테스트 매장,24011275288,20000,CASH,CANCELED,매장,2024-01-12 11:52:40,2024-01-12 20:52:40
카카온 테스트 매장,24011291174,10000,CASH,APPROVED,매장,2024-01-12 13:51:34,
카카온 테스트 매장,24011206342,50000,CARD,APPROVED,매장,2024-01-12 14:07:50,
카카온 테스트 매장,24011214349,5000,CARD,APPROVED,매장,2024-01-12 19:35:13,
카카온 테스트 매장,24011349701,50000,CASH,APPROVED,매장,2024-01-13 00:59:03,
카카온 테스트 매장,24011379134,5000,TRANSFER,APPROVED,배달,2024-01-13 01:28:38,
카카온 테스트 매장,24011390609,10000,CASH,APPROVED,매장,2024-01-13 01:32:04,
카카온 테스트 매장,24011316412,10000,CARD,APPROVED,매장,2024-01-13 02:48:39,
카카온 테스트 매장,24011369034,10000,TRANSFER,APPROVED,매장,2024-01-13 07:35:31,
카카온 테스트 매장,24011339515,10000,CASH,CANCELED,매장,2024-01-13 09:07:57,2024-01-14 11:07:57
카카온 테스트 매장,24011313394,5000,CASH,APPROVED,매장,2024-01-13 09:08:17,
카카온 테스트 매장,24011352777,40000,CARD,APPROVED,매장,2024-01-13 10:40:09,
카카온 테스트 매장,24011319130,30000,TRANSFER,APPROVED,매장,2024-01-13 12:21:56,
카카온 테스트 매장,24011300510,25000,CASH,APPROVED,배달,2024-01-13 14:27:32,
카카온 테스트 매장,24011388655,20000,CASH,APPROVED,매장,2024-01-13 15:06:46,
카카온 테스트 매장,24011339677,40000,CARD,APPROVED,매장,2024-01-13 16:25:21,
카카온 테스트 매장,24011316232,50000,CARD,APPROVED,매장,2024-01-13 16:32:19,
카카온 테스트 매장,24011338880,25000,KAKAOPAY,APPROVED,배달,2024-01-13 18:07:31,
카카온 테스트 매장,24011374191,40000,KAKAOPAY,APPROVED,매장,2024-01-13 19:42:20,
카카온 테스트 매장,24011498895,50000,CASH,APPROVED,배달,2024-01-14 04:27:09,
카카온 테스트 매장,24011418542,50000,TRANSFER,APPROVED,매장,2024-01-14 05:05:22,
카카온 테스트 매장,24011431572,30000,CASH,APPROVED,매장,2024-01-14 05:11:44,
카카온 테스트 매장,24011437650,40000,CARD,APPROVED,매장,2024-01-14 08:48:25,
카카온 테스트 매장,24011457291,50000,CARD,APPROVED,매장,2024-01-14 09:13:34,
카카온 테스트 매장,24011457748,30000,CARD,APPROVED,매장,2024-01-14 09:25:53,
카카온 테스트 매장,24011407493,20000,KAKAOPAY,APPROVED,매장,2024-01-14 12:54:41,
카카온 테스트 매장,24011416786,50000,KAKAOPAY,APPROVED,매장,2024-01-14 21:04:14,
카카온 테스트 매장,24011453497,25000,CARD,APPROVED,매장,2024-01-14 21:08:12,
카카온 테스트 매장,24011494888,30000,CARD,APPROVED,배달,2024-01-14 21:19:10,
카카온 테스트 매장,24011402398,20000,KAKAOPAY,APPROVED,배달,2024-01-14 22:43:29,
카카온 테스트 매장,24011524376,50000,KAKAOPAY,APPROVED,매장,2024-01-15 00:52:55,
카카온 테스트 매장,24011558588,25000,CASH,APPROVED,매장,2024-01-15 01:41:13,
카카온 테스트 매장,24011594246,10000,CARD,APPROVED,매장,2024-01-15 03:42:46,
카카온 테스트 매장,24011566159,25000,CARD,APPROVED,매장,2024-01-15 04:09:11,
카카온 테스트 매장,24011528158,20000,CARD,APPROVED,매장,2024-01-15 04:23:08,
카카온 테스트 매장,24011581823,15000,TRANSFER,APPROVED,매장,2024-01-15 04:37:01,
카카온 테스트 매장,24011511644,30000,CASH,APPROVED,배달,2024-01-15 05:17:37,
카카온 테스트 매장,24011557979,25000,CASH,APPROVED,매장,2024-01-15 07:19:22,
카카온 테스트 매장,24011525379,5000,KAKAOPAY,APPROVED,매장,2024-01-15 08:13:24,
카카온 테스트 매장,24011585194,50000,CARD,APPROVED,배달,2024-01-15 12:46:00,
카카온 테스트 매장,24011531902,25000,CASH,APPROVED,배달,2024-01-15 14:03:21,
카카온 테스트 매장,24011510519,30000,CARD,APPROVED,매장,2024-01-15 14:55:47,
카카온 테스트 매장,24011592884,30000,KAKAOPAY,APPROVED,배달,2024-01-15 15:21:40,
카카온 테스트 매장,24011540594,25000,KAKAOPAY,APPROVED,매장,2024-01-15 15:53:18,
카카온 테스트 매장,24011597965,25000,CARD,APPROVED,매장,2024-01-15 16:01:48,
카카온 테스트 매장,24011547001,15000,KAKAOPAY,APPROVED,배달,2024-01-15 16:25:37,
카카온 테스트 매장,24011594359,50000,CARD,APPROVED,매장,2024-01-15 16:57:03,
카카온 테스트 매장,24011586760,20000,CARD,APPROVED,배달,2024-01-15 17:01:36,
카카온 테스트 매장,24011506751,15000,CARD,APPROVED,매장,2024-01-15 17:49:18,
카카온 테스트 매장,24011505506,25000,CARD,APPROVED,매장,2024-01-15 17:50:18,
카카온 테스트 매장,24011580524,10000,KAKAOPAY,APPROVED,배달,2024-01-15 20:03:29,
카카온 테스트 매장,24011500355,40000,KAKAOPAY,APPROVED,배달,2024-01-15 22:34:00,
카카온 테스트 매장,24011699365,15000,CARD,APPROVED,매장,2024-01-16 02:29:52,
카카온 테스트 매장,24011607222,40000,CARD,APPROVED,매장,2024-01-16 07:46:11,
카카온 테스트 매장,24011672294,10000,CARD,APPROVED,배달,2024-01-16 07:54:09,
카카온 테스트 매장,24011622952,40000,TRANSFER,APPROVED,매장,2024-01-16 09:06:32,
카카온 테스트 매장,24011687382,25000,CARD,APPROVED,배달,2024-01-16 09:59:56,
카카온 테스트 매장,24011603776,20000,CARD,APPROVED,배달,2024-01-16 10:01:29,
카카온 테스트 매장,24011601425,40000,CARD,APPROVED,매장,2024-01-16 10:50:29,
카카온 테스트 매장,24011671460,10000,CASH,APPROVED,매장,2024-01-16 11:29:59,
카카온 테스트 매장,24011681948,20000,KAKAOPAY,APPROVED,매장,2024-01-16 17:41:01,
카카온 테스트 매장,24011618938,50000,CARD,APPROVED,배달,2024-01-16 19:39:06,
카카온 테스트 매장,24011640870,25000,CARD,APPROVED,매장,2024-01-16 19:52:52,
카카온 테스트 매장,24011636906,20000,TRANSFER,APPROVED,배달,2024-01-16 23:09:04,
카카온 테스트 매장,24011775293,40000,CARD,APPROVED,매장,2024-01-17 01:09:36,
카카온 테스트 매장,24011760261,5000,CASH,APPROVED,배달,2024-01-17 01:47:51,
카카온 테스트 매장,24011774016,5000,TRANSFER,APPROVED,매장,2024-01-17 06:03:46,
카카온 테스트 매장,24011718882,20000,KAKAOPAY,APPROVED,배달,2024-01-17 07:53:53,
카카온 테스트 매장,24011702808,10000,CARD,APPROVED,매장,2024-01-17 10:56:09,
카카온 테스트 매장,24011790099,5000,CARD,APPROVED,매장,2024-01-17 11:57:26,
카카온 테스트 매장,24011776914,40000,CARD,APPROVED,배달,2024-01-17 14:49:21,
카카온 테스트 매장,24011720030,50000,CASH,APPROVED,매장,2024-01-17 15:18:35,
카카온 테스트 매장,24011742067,5000,KAKAOPAY,APPROVED,매장,2024-01-17 16:18:42,
카카온 테스트 매장,24011784479,25000,CARD,APPROVED,매장,2024-01-17 16:32:11,
카카온 테스트 매장,24011728967,50000,CARD,APPROVED,매장,2024-01-17 17:28:42,
카카온 테스트 매장,24011785037,50000,CARD,APPROVED,배달,2024-01-17 19:08:46,
카카온 테스트 매장,24011774890,40000,CASH,APPROVED,매장,2024-01-17 20:52:18,
카카온 테스트 매장,24011716007,10000,CARD,APPROVED,배달,2024-01-17 22:20:55,
카카온 테스트 매장,24011701554,10000,CARD,APPROVED,매장,2024-01-17 23:48:27,
카카온 테스트 매장,24011860820,15000,CARD,APPROVED,매장,2024-01-18 01:48:11,
카카온 테스트 매장,24011844769,20000,KAKAOPAY,APPROVED,매장,2024-01-18 02:08:37,
카카온 테스트 매장,24011875684,40000,TRANSFER,APPROVED,매장,2024-01-18 02:32:02,
카카온 테스트 매장,24011817749,5000,KAKAOPAY,APPROVED,배달,2024-01-18 02:39:08,
카카온 테스트 매장,24011840266,40000,CARD,APPROVED,매장,2024-01-18 05:17:31,
카카온 테스트 매장,24011841130,5000,KAKAOPAY,APPROVED,매장,2024-01-18 05:30:31,
카카온 테스트 매장,24011866888,5000,CASH,APPROVED,배달,2024-01-18 05:48:39,
카카온 테스트 매장,24011831391,30000,CASH,APPROVED,매장,2024-01-18 11:20:20,
카카온 테스트 매장,24011882075,10000,CARD,APPROVED,배달,2024-01-18 11:48:32,
카카온 테스트 매장,24011821395,50000,KAKAOPAY,APPROVED,매장,2024-01-18 13:05:52,
카카온 테스트 매장,24011838638,20000,CASH,APPROVED,매장,2024-01-18 13:47:57,
카카온 테스트 매장,24011858616,15000,CARD,APPROVED,매장,2024-01-18 14:23:52,
카카온 테스트 매장,24011864556,50000,KAKAOPAY,APPROVED,매장,2024-01-18 15:03:18,
카카온 테스트 매장,24011821340,40000,KAKAOPAY,APPROVED,배달,2024-01-18 15:07:20,
카카온 테스트 매장,24011877016,15000,CARD,APPROVED,매장,2024-01-18 15:36:18,
카카온 테스트 매장,24011884638,25000,CARD,APPROVED,매장,2024-01-18 15:56:10,
카카온 테스트 매장,24011859917,5000,CARD,APPROVED,매장,2024-01-18 17:10:38,
카카온 테스트 매장,24011830697,50000,KAKAOPAY,APPROVED,매장,2024-01-18 17:25:07,
카카온 테스트 매장,24011887170,15000,KAKAOPAY,APPROVED,배달,2024-01-18 18:42:21,
카카온 테스트 매장,24011857879,40000,KAKAOPAY,APPROVED,매장,2024-01-18 19:39:18,
카카온 테스트 매장,24011808668,20000,KAKAOPAY,APPROVED,매장,2024-01-18 20:03:00,
카카온 테스트 매장,24011859386,25000,KAKAOPAY,APPROVED,매장,2024-01-18 20:18:08,
카카온 테스트 매장,24011826846,10000,CASH,APPROVED,매장,2024-01-18 21:57:32,
카카온 테스트 매장,24011869153,25000,CASH,APPROVED,매장,2024-01-18 22:53:39,
카카온 테스트 매장,24011901489,25000,CARD,APPROVED,배달,2024-01-19 01:03:07,
카카온 테스트 매장,24011955152,15000,TRANSFER,APPROVED,매장,2024-01-19 03:00:21,
카카온 테스트 매장,24011964984,10000,CARD,APPROVED,매장,2024-01-19 03:51:26,
카카온 테스트 매장,24011921278,15000,CARD,APPROVED,배달,2024-01-19 04:59:48,
카카온 테스트 매장,24011984245,15000,KAKAOPAY,APPROVED,매장,2024-01-19 05:27:56,
카카온 테스트 매장,24011949243,40000,KAKAOPAY,APPROVED,매장,2024-01-19 08:09:57,
카카온 테스트 매장,24011934753,15000,CASH,APPROVED,배달,2024-01-19 09:47:28,
카카온 테스트 매장,24011937397,20000,CARD,APPROVED,배달,2024-01-19 14:47:56,
카카온 테스트 매장,24011965509,20000,CASH,APPROVED,매장,2024-01-19 16:32:17,
카카온 테스트 매장,24011999703,5000,CARD,APPROVED,배달,2024-01-19 16:56:54,
카카온 테스트 매장,24011940161,5000,CASH,APPROVED,배달,2024-01-19 16:59:14,
